,phrase,label,sentiment,subjectivity,language,count
Deutschland,Deutschland,LOC,0.019384546271338732,0.09407008086253371,de,371
Berlin,Berlin,LOC,0.048905723905723904,0.04882154882154883,de,99
Europa,Europa,LOC,-0.24368421052631578,0.05789473684210526,de,95
Ukraine,Ukraine,LOC,0.023863636363636382,0.015151515151515152,de,66
Russland,Russland,LOC,0.04310344827586206,0.10344827586206896,de,58
Deutschlands,Deutschlands,LOC,0.076,0.16,de,50
Frankreich,Frankreich,LOC,0.050775193798449615,0.03643410852713178,de,43
Brüssel,Brüssel,LOC,0.24358974358974358,0.0641025641025641,de,39
China,China,LOC,0.0296875,0.0625,de,32
Gaspreisbremse,Gaspreisbremse,LOC,0.04565217391304346,0.0,de,23
Österreich,Österreich,LOC,-0.031818181818181815,0.045454545454545456,de,22
Bund,Bund,LOC,-0.05606060606060606,0.01515151515151515,de,22
Schweiz,Schweiz,LOC,0.027380952380952374,0.047619047619047616,de,21
Bayern,Bayern,LOC,-0.05,0.2,de,20
EU-Gipfel,EU-Gipfel,LOC,0.375,0.025,de,20
Spanien,Spanien,LOC,0.2111111111111111,0.0,de,18
Düsseldorf,Düsseldorf,LOC,0.15000000000000002,0.0,de,18
Wilhelmshaven,Wilhelmshaven,LOC,0.07058823529411763,0.0,de,17
Thüringen,Thüringen,LOC,-0.13124999999999998,0.0625,de,16
"Podcasts
","Podcasts
",LOC,0.6999999999999998,0.0,de,16
Audioinhalten,Audioinhalten,LOC,0.6999999999999998,0.0,de,16
Paris,Paris,LOC,0.09999999999999999,0.07142857142857142,de,14
Privacy Center,Privacy Center,LOC,0.0,0.0,de,14
den USA,den USA,LOC,0.09615384615384612,0.0,de,13
USA,USA,LOC,0.29230769230769227,0.0,de-DE,13
Deutschland.,Deutschland.,LOC,0.16666666666666666,0.08333333333333333,de,12
München,München,LOC,0.08333333333333333,0.0,de,12
Russlands,Russlands,LOC,-0.02727272727272728,0.0,de,11
Europas,Europas,LOC,-0.2727272727272727,0.0,de,11
Ukraine-Kriegs,Ukraine-Kriegs,LOC,-0.55,0.15,de,10
Bonn,Bonn,LOC,0.13,0.0,de,10
Strompreisbremse,Strompreisbremse,LOC,-0.17777777777777778,0.0,de,9
Scholz,Scholz,LOC,0.037037037037037035,0.0,de,9
Staaten,Staaten,LOC,0.07222222222222223,0.2222222222222222,de,9
Gasspeicherverband,Gasspeicherverband,LOC,0.0,0.0,de,9
Sachsen-Anhalt,Sachsen-Anhalt,LOC,-0.1111111111111111,0.0,de,9
Sachsen,Sachsen,LOC,0.0,0.0,de,9
Verbraucherpreise,Verbraucherpreise,LOC,0.3111111111111111,0.0,de,9
Corona,Corona,LOC,0.037037037037037035,0.07407407407407407,de,9
Großbritannien,Großbritannien,LOC,0.1,0.0625,de,8
Niedersachsen,Niedersachsen,LOC,-0.25,0.0,de,8
Nordsee,Nordsee,LOC,0.26249999999999996,0.0,de,8
Brandenburg,Brandenburg,LOC,0.0,0.375,de,8
Prag,Prag,LOC,-0.2125,0.0,de,8
Hamburg,Hamburg,LOC,0.04999999999999999,0.125,de,8
Brandenburgs,Brandenburgs,LOC,0.0875,0.0,de,8
Alpen,Alpen,LOC,-0.2857142857142857,0.0,de,7
Italien,Italien,LOC,0.24285714285714285,0.0,de,7
Winter.,Winter.,LOC,0.08571428571428573,0.0,de,7
Gaseinkauf,Gaseinkauf,LOC,-0.24285714285714285,0.0,de,7
Stromausfällen,Stromausfällen,LOC,-0.26904761904761904,0.0,de,7
Charkiw,Charkiw,LOC,0.24285714285714285,0.0,de,7
Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,LOC,0.09999999999999999,0.42857142857142855,de,7
Österreichs,Österreichs,LOC,-0.12142857142857143,0.0,de,7
Hessen,Hessen,LOC,0.2333333333333333,0.0,de,6
Kreml,Kreml,LOC,-0.5666666666666667,0.0,de,6
Stadt,Stadt,LOC,0.11666666666666665,0.16666666666666666,de,6
Türkei,Türkei,LOC,0.0,0.0,de,6
Kurses,Kurses,LOC,0.9166666666666666,0.08333333333333333,de,6
Kiew,Kiew,LOC,-0.16666666666666666,0.0,de,6
Brüssel.,Brüssel.,LOC,0.0,0.0,de,5
Rehden,Rehden,LOC,0.0,0.0,de,5
Landkreis München,Landkreis München,LOC,0.0,0.4,de,5
Ägypten,Ägypten,LOC,0.2,0.2,de,5
Asien,Asien,LOC,0.13999999999999999,0.0,de,5
Landtag,Landtag,LOC,0.2,0.0,de,5
Südafrika,Südafrika,LOC,0.0,0.0,de,5
Frankfurt/Main,Frankfurt/Main,LOC,0.13999999999999999,0.0,de,5
Japan,Japan,LOC,0.0,0.0,de,5
Baden-Württembergs,Baden-Württembergs,LOC,0.2316666666666667,0.2333333333333333,de,5
Bayerns,Bayerns,LOC,0.0,0.0,de,5
Lauterbach,Lauterbach,LOC,-0.07999999999999999,0.0,de,5
