,phrase,label,sentiment,subjectivity,language,count
EU,EU,ORG,0.06402664692820133,0.0856649395509499,de,386
EZB,EZB,ORG,0.18160173160173174,0.010101010101010102,de,231
Bundesnetzagentur,Bundesnetzagentur,ORG,0.03937308868501529,0.052752293577981654,de,218
Grüne,Grüne,ORG,0.09336823734729491,0.10645724258289703,de,191
SPD,SPD,ORG,0.0661764705882353,0.050980392156862744,de,170
Bundestag,Bundestag,ORG,0.017469879518072287,0.04819277108433735,de,166
Photovoltaik,Photovoltaik,ORG,0.10212765957446805,0.07234042553191489,de,141
FDP,FDP,ORG,0.09420634920634921,0.027777777777777776,de,126
EU-Kommission,EU-Kommission,ORG,0.09817927170868346,0.039215686274509796,de,119
IEA,IEA,ORG,-0.03354591836734694,0.1913265306122449,de,98
Foto,Foto,ORG,0.05489130434782608,0.059782608695652176,de,92
Foto: dpa,Foto: dpa,ORG,-0.007317073170731706,0.012195121951219513,de,82
CDU,CDU,ORG,0.02510822510822509,0.0606060606060606,de,77
FOCUS,FOCUS,ORG,-0.025432900432900432,0.07575757575757576,de,77
E-Autos,E-Autos,ORG,0.06977777777777777,0.07111111111111111,de,75
Europäische Zentralbank,Europäische Zentralbank,ORG,0.2446666666666666,0.06,de,75
WELT,WELT,ORG,0.4401960784313723,0.029411764705882353,de,68
DER SPIEGEL,DER SPIEGEL,ORG,0.2768656716417908,0.0,de,67
Eurozone,Eurozone,ORG,0.0746031746031746,0.0,de,63
Telekom,Telekom,ORG,0.0271186440677966,0.05084745762711865,de,59
Vodafone,Vodafone,ORG,0.035416666666666666,0.020833333333333332,de,48
WirtschaftsWoche Online,WirtschaftsWoche Online,ORG,0.6999999999999996,0.0,de,46
BASF,BASF,ORG,-0.09545454545454546,0.0,de,44
Bundesbank,Bundesbank,ORG,0.022727272727272728,0.0,de,44
Siemens Energy,Siemens Energy,ORG,0.1380952380952381,0.0,de,42
Fed,Fed,ORG,0.1273809523809524,0.047619047619047616,de,42
US-Notenbank,US-Notenbank,ORG,0.2607142857142857,0.0,de,42
RWE,RWE,ORG,0.16666666666666666,0.07142857142857142,de,42
Bundeswirtschaftsminister,Bundeswirtschaftsminister,ORG,0.24047619047619043,0.10714285714285714,de,42
Gewerkschaften,Gewerkschaften,ORG,0.00641025641025641,0.08974358974358974,de,39
Tesla,Tesla,ORG,0.10128205128205128,0.0,de,39
Grünen,Grünen,ORG,0.057692307692307696,0.0,de,39
Uniper,Uniper,ORG,-0.14358974358974358,0.01282051282051282,de,39
Euroraum,Euroraum,ORG,0.1473684210526316,0.02631578947368421,de,38
Internationale Energieagentur,Internationale Energieagentur,ORG,0.042105263157894736,0.10526315789473684,de,38
Sono Motors,Sono Motors,ORG,-0.07387387387387387,0.0,de,37
die Grünen,die Grünen,ORG,0.08603603603603602,0.04054054054054054,de,37
Gewerkschaft,Gewerkschaft,ORG,-0.12285714285714285,0.2571428571428571,de,35
CSU,CSU,ORG,0.0030303030303030264,0.0,de,33
AKW,AKW,ORG,-0.05252525252525253,0.0101010101010101,de,33
SPIEGEL,SPIEGEL,ORG,0.41774193548387084,0.0,de,31
ntv.de,ntv.de,ORG,-0.429032258064516,0.06451612903225806,de,31
Kommission,Kommission,ORG,-0.05,0.04838709677419355,de,31
Internationalen Energieagentur,Internationalen Energieagentur,ORG,-0.15161290322580645,0.0967741935483871,de,31
Die Grünen,Die Grünen,ORG,-0.04112903225806452,0.12903225806451613,de,31
Leag,Leag,ORG,0.04666666666666666,0.0,de,30
Deutschland,Deutschland,ORG,-0.007500000000000003,0.05,de,30
Bundesliga,Bundesliga,ORG,0.029310344827586206,0.0,de,29
ÖVP,ÖVP,ORG,0.03275862068965516,0.06896551724137931,de,29
Europäischen Union,Europäischen Union,ORG,-0.05357142857142857,0.23214285714285715,de,28
BILD,BILD,ORG,0.017261904761904773,0.017857142857142856,de,28
Euro-Raum,Euro-Raum,ORG,0.19629629629629633,0.0,de,27
Foto: Reuters,Foto: Reuters,ORG,0.0,0.0,de,27
Währungshüter,Währungshüter,ORG,0.02777777777777777,0.16666666666666666,de,27
Europäischen Zentralbank,Europäischen Zentralbank,ORG,0.1,0.0,de,27
Apple,Apple,ORG,0.019230769230769225,0.09615384615384616,de,26
Deutsche Wetterdienst,Deutsche Wetterdienst,ORG,0.011999999999999993,0.04,de,25
GIE,GIE,ORG,0.0,0.0,de,24
F.A.Z.,F.A.Z.,ORG,0.04565217391304347,0.06521739130434782,de,23
Parlament,Parlament,ORG,0.02499999999999999,0.0,de,22
JA Solar,JA Solar,ORG,0.22727272727272727,0.0,de,22
Notenbank,Notenbank,ORG,0.11249999999999999,0.045454545454545456,de,22
Bundeskabinett,Bundeskabinett,ORG,0.031818181818181815,0.045454545454545456,de,22
Bundeswirtschaftsministerium,Bundeswirtschaftsministerium,ORG,0.0,0.045454545454545456,de,22
SPÖ,SPÖ,ORG,0.0,0.13636363636363635,de,22
Partei,Partei,ORG,0.042857142857142864,0.16666666666666666,de,21
EnBW,EnBW,ORG,0.2214285714285714,0.0,de,21
Balkonkraftwerk,Balkonkraftwerk,ORG,0.3666666666666667,0.047619047619047616,de,21
DWD,DWD,ORG,-0.07142857142857142,0.047619047619047616,de,21
EU-Parlament,EU-Parlament,ORG,-0.16666666666666666,0.023809523809523808,de,21
Shell,Shell,ORG,0.1625,0.0,de,20
Bundeswehr,Bundeswehr,ORG,-0.045000000000000005,0.15,de,20
Europäische Union,Europäische Union,ORG,0.0,0.05263157894736842,de,19
Euro-Zone,Euro-Zone,ORG,0.23157894736842108,0.05263157894736842,de,19
E-Mobilität,E-Mobilität,ORG,0.03888888888888889,0.0,de,18
Kommunen,Kommunen,ORG,0.1259259259259259,0.018518518518518517,de,18
Konsum,Konsum,ORG,0.08333333333333331,0.0,de,18
EU-Länder,EU-Länder,ORG,0.19444444444444445,0.16666666666666666,de,18
Microsoft,Microsoft,ORG,0.030555555555555558,0.0,de,18
Tennet,Tennet,ORG,0.020588235294117654,0.08823529411764706,de,17
BP,BP,ORG,0.15,0.0,de,17
Deutsche Wirtschaft,Deutsche Wirtschaft,ORG,0.058823529411764705,0.058823529411764705,de,17
Intel,Intel,ORG,-0.058823529411764705,0.11764705882352941,de,17
Infineon,Infineon,ORG,0.296875,0.28125,de,16
IWF,IWF,ORG,0.19374999999999998,0.0625,de,16
Vattenfall,Vattenfall,ORG,0.04000000000000001,0.06666666666666667,de,15
NDR.de,NDR.de,ORG,0.17777777777777773,0.03333333333333333,de,15
Nationalrat,Nationalrat,ORG,-0.04666666666666666,0.13333333333333333,de,15
Hamas,Hamas,ORG,0.05111111111111111,0.02222222222222222,de,15
FC Bayern,FC Bayern,ORG,-0.13999999999999999,0.06666666666666667,de,15
Solarpaket,Solarpaket,ORG,0.13333333333333333,0.13333333333333333,de,15
NZZ,NZZ,ORG,0.04666666666666666,0.4666666666666667,de,15
Kölner Haie,Kölner Haie,ORG,0.35714285714285715,0.07142857142857142,de,14
TIWAG,TIWAG,ORG,-0.3488095238095238,0.047619047619047616,de,14
Siemens,Siemens,ORG,0.17500000000000002,0.0,de,14
Samsung,Samsung,ORG,0.21071428571428572,0.0,de,14
CO2-Ausstoß,CO2-Ausstoß,ORG,0.0,0.2857142857142857,de,14
Deutsche Bahn,Deutsche Bahn,ORG,0.12142857142857143,0.0,de,14
AfD,AfD,ORG,0.09999999999999999,0.0,de,14
Foto: AP,Foto: AP,ORG,0.40714285714285714,0.0,de,14
tmn,tmn,ORG,0.0,0.0,de,13
OECD,OECD,ORG,-0.11923076923076922,0.07692307692307693,de,13
Vonovia,Vonovia,ORG,-0.1846153846153846,0.0,de,13
Huawei,Huawei,ORG,0.29230769230769227,0.07692307692307693,de,13
Deutsche Telekom,Deutsche Telekom,ORG,0.08846153846153845,0.0,de,13
DEL,DEL,ORG,0.0,0.07692307692307693,de,13
SMA Solar,SMA Solar,ORG,0.18333333333333335,0.041666666666666664,de,12
BMW,BMW,ORG,0.0,0.08333333333333333,de,12
VW,VW,ORG,0.05833333333333333,0.08333333333333333,de,12
IW,IW,ORG,-0.05833333333333333,0.0,de,12
Deutschen Presse-Agentur,Deutschen Presse-Agentur,ORG,0.15833333333333333,0.0,de,12
FPÖ,FPÖ,ORG,0.0,0.0,de,12
Aldi,Aldi,ORG,0.19999999999999998,0.08333333333333333,de,12
STERN,STERN,ORG,0.0,0.0,de,11
Getty Images,Getty Images,ORG,-0.09090909090909091,0.0,de,11
Pixabay,Pixabay,ORG,0.18181818181818182,0.18181818181818182,de,11
Volkswagen,Volkswagen,ORG,0.15454545454545454,0.0,de,11
Ifo-Institut,Ifo-Institut,ORG,0.11818181818181818,0.0,de,11
EZB-Präsidentin,EZB-Präsidentin,ORG,0.06363636363636363,0.09090909090909091,de,11
Gazprom,Gazprom,ORG,0.21818181818181817,0.0,de,11
Atomkraft,Atomkraft,ORG,-0.15454545454545454,0.0,de,11
ADAC,ADAC,ORG,0.06363636363636363,0.0,de,11
Caritas,Caritas,ORG,0.12727272727272726,0.2727272727272727,de,11
FAZ,FAZ,ORG,0.1212121212121212,0.0,de,11
n-tv.de,n-tv.de,ORG,0.08499999999999999,0.0,de,10
Foto: Bloomberg,Foto: Bloomberg,ORG,0.0,0.0,de,10
Forschern,Forschern,ORG,0.6900000000000001,0.0,de,10
Siemens Gamesa,Siemens Gamesa,ORG,0.24,0.0,de,10
US-Subventionen,US-Subventionen,ORG,-0.08499999999999999,0.2,de,10
Deutschen Eishockey Liga,Deutschen Eishockey Liga,ORG,0.06999999999999999,0.1,de,10
ARD,ARD,ORG,0.16999999999999998,0.1,de,10
Allianz,Allianz,ORG,0.20999999999999996,0.0,de,10
Ostdeutschland,Ostdeutschland,ORG,0.06999999999999999,0.0,de,10
Spiegel,Spiegel,ORG,-0.2222222222222222,0.0,de,9
IW-Studie,IW-Studie,ORG,-0.8888888888888888,0.0,de,9
Europaparlament,Europaparlament,ORG,0.07777777777777778,0.0,de,9
Hertha BSC,Hertha BSC,ORG,0.15555555555555556,0.0,de,9
IG Metall,IG Metall,ORG,0.0,0.0,de,9
Windpark-Gruppe,Windpark-Gruppe,ORG,-0.07777777777777778,0.0,de,9
Internationale Währungsfonds,Internationale Währungsfonds,ORG,-0.20555555555555557,0.0,de,9
SPD-Chef,SPD-Chef,ORG,0.15555555555555556,0.0,de,9
Union,Union,ORG,-0.26666666666666666,0.0,de,9
FC Augsburg,FC Augsburg,ORG,0.0,0.2222222222222222,de,9
Haie,Haie,ORG,0.07777777777777778,0.1111111111111111,de,9
Tempo,Tempo,ORG,0.07777777777777778,0.0,de,9
LNG,LNG,ORG,-0.1111111111111111,0.0,de,9
ntv,ntv,ORG,0.15000000000000002,0.16666666666666666,de,9
Eurostat,Eurostat,ORG,0.2222222222222222,0.0,de,9
GEG,GEG,ORG,0.15555555555555556,0.0,de,9
Deutsche Bank,Deutsche Bank,ORG,-0.18888888888888886,0.2222222222222222,de,9
Bank of England,Bank of England,ORG,0.35,0.0,de,8
Greenpeace,Greenpeace,ORG,0.018750000000000003,0.0,de,8
Black Friday,Black Friday,ORG,0.29270833333333335,0.13541666666666666,de,8
