,phrase,label,sentiment,subjectivity,language,count
Olaf Scholz,Olaf Scholz,PER,0.09929078014184396,0.05673758865248227,de,47
Robert Habeck,Robert Habeck,PER,-0.05925925925925926,0.0,de,27
Wirtschaftsminister Habeck,Wirtschaftsminister Habeck,PER,-0.02666666666666666,0.0,de,15
Wintershall Dea,Wintershall Dea,PER,0.375,0.0,de,8
Christian Lindner,Christian Lindner,PER,0.10952380952380951,0.047619047619047616,de,7
Friedrich Merz,Friedrich Merz,PER,-0.14285714285714285,0.0,de,7
Emmanuel Macron,Emmanuel Macron,PER,-0.16666666666666666,0.26666666666666666,de,6
Mario Mehren,Mario Mehren,PER,0.13999999999999999,0.8,de,5
Wolfgang Schäuble,Wolfgang Schäuble,PER,-0.1,0.0,de,5
Liz Truss,Liz Truss,PER,0.0,0.0,de,5
Klaus Müller,Klaus Müller,PER,0.06000000000000001,0.0,de,5
Christine Lagarde,Christine Lagarde,PER,0.25,0.25,de,4
Netzagentur-Chef Müller,Netzagentur-Chef Müller,PER,0.125,0.0,de,4
Johan Eliasch,Johan Eliasch,PER,-0.3333333333333333,0.0,de,3
Michael Kretschmer,Michael Kretschmer,PER,-0.2333333333333333,0.0,de,3
Adam Tooze,Adam Tooze,PER,0.0,0.0,de,3
Jens Spahn,Jens Spahn,PER,0.0,0.0,de,3
Leonore Gewessler,Leonore Gewessler,PER,0.6666666666666666,0.0,de,3
Frans Timmermans,Frans Timmermans,PER,-0.10000000000000002,0.0,de,3
Moritz Schularick,Moritz Schularick,PER,0.2333333333333333,0.0,de,3
Omid Nouripour,Omid Nouripour,PER,0.4666666666666666,0.0,de,3
Winfried Kretschmann,Winfried Kretschmann,PER,0.3333333333333333,0.0,de,3
Veronika Grimm,Veronika Grimm,PER,0.4666666666666666,0.0,de,3
Netzagentur-Präsident Müller,Netzagentur-Präsident Müller,PER,0.0,0.0,de,3
Karl Lauterbach,Karl Lauterbach,PER,0.0,0.0,de,3
Silke Gebel,Silke Gebel,PER,0.0,0.0,de,3
Katrin Göring-Eckardt,Katrin Göring-Eckardt,PER,-0.11666666666666665,0.16666666666666666,de,3
Ulrike Malmendier,Ulrike Malmendier,PER,0.0,0.0,de,3
Ursula von der Leyen,Ursula von der Leyen,PER,0.0,0.0,de,3
Marc Rich,Marc Rich,PER,0.0,0.0,de,2
Hartz IV,Hartz IV,PER,0.0,0.0,de,2
Will Deutschland,Will Deutschland,PER,0.0,0.0,de,2
Katja Kipping,Katja Kipping,PER,0.0,0.0,de,2
Franziska van Almsick,Franziska van Almsick,PER,0.0,0.0,de,2
Alexandra Sdoukou,Alexandra Sdoukou,PER,0.7,0.0,de,2
Andreas Schell,Andreas Schell,PER,0.7,0.0,de,2
Lars Klingbeil,Lars Klingbeil,PER,0.0,0.0,de,2
Guy Parmelin,Guy Parmelin,PER,0.0,0.0,de,2
Europas Gasprobleme,Europas Gasprobleme,PER,0.0,1.0,de,2
Felix Rauschek,Felix Rauschek,PER,-0.7,0.0,de,2
Benjamin Hahn,Benjamin Hahn,PER,0.0,0.0,de,2
Maria Burghardt,Maria Burghardt,PER,0.0,0.0,de,2
Bettina Stark-Watzinger,Bettina Stark-Watzinger,PER,0.0,0.0,de,2
Viktor Orban,Viktor Orban,PER,0.0,0.5,de,2
Ralph Tiesler,Ralph Tiesler,PER,-0.35,0.0,de,2
Arnold Drewer,Arnold Drewer,PER,-1.0,0.0,de,2
Bundespräsident Steinmeier,Bundespräsident Steinmeier,PER,0.35,0.0,de,2
Robert Niedergesäß,Robert Niedergesäß,PER,0.0,0.0,de,2
Warren Buffett,Warren Buffett,PER,0.0,0.0,de,2
André Birner,André Birner,PER,0.0,0.0,de,2
Anna M,Anna M,PER,0.0,0.0,de,2
Hubert Aiwanger,Hubert Aiwanger,PER,1.0,0.0,de,2
Sören Pellmann,Sören Pellmann,PER,0.7,0.0,de,2
Joe Biden,Joe Biden,PER,0.5,0.0,de,2
Max Kruse,Max Kruse,PER,0.0,0.0,de,2
Günther Oettinger,Günther Oettinger,PER,-0.7,0.0,de,2
Matthias Zachert,Matthias Zachert,PER,0.0,0.0,de,2
Simonetta Sommaruga,Simonetta Sommaruga,PER,0.0,0.0,de,2
Kai Hufendiek,Kai Hufendiek,PER,-0.11666666666666665,0.0,de,2
Christina Morina,Christina Morina,PER,0.0,0.0,de,2
Annalena Baerbock,Annalena Baerbock,PER,0.0,0.0,de,2
Howard Marks,Howard Marks,PER,0.0,0.0,de,2
Björn Alexander,Björn Alexander,PER,0.5,0.0,de,2
Ray Dalio,Ray Dalio,PER,0.0,0.0,de,2
Swen Hubrich,Swen Hubrich,PER,0.0,0.0,de,2
Heiko Paeth,Heiko Paeth,PER,0.0,0.0,de,2
Bodo Ramelow,Bodo Ramelow,PER,0.0,0.0,de,2
Thomas Huber,Thomas Huber,PER,0.7,0.0,de,2
Wolfram Günther,Wolfram Günther,PER,0.7,0.0,de,2
Greta Thunberg,Greta Thunberg,PER,0.0,0.0,de,2
Arnold Schwarzenegger,Arnold Schwarzenegger,PER,-0.5,0.0,de,2
Hans-Ulrich Rülke,Hans-Ulrich Rülke,PER,0.0,0.0,de,2
Bundesinnenministerin Faeser,Bundesinnenministerin Faeser,PER,1.0,0.0,de,2
Manfred Hübner,Manfred Hübner,PER,-1.0,0.0,de,2
Christoph Ploß,Christoph Ploß,PER,0.0,0.0,de,2
Ricarda Lang,Ricarda Lang,PER,0.35,0.0,de,2
Antonio Guterres,Antonio Guterres,PER,0.0,0.0,de,2
Florian Bieberbach,Florian Bieberbach,PER,0.0,0.0,de,2
Florian Schardt,Florian Schardt,PER,0.0,0.0,de,2
Claudia Cardinale,Claudia Cardinale,PER,0.0,0.0,de,1
Ex-EU-Kommissar Oettinger,Ex-EU-Kommissar Oettinger,PER,0.0,0.0,de,1
Sofia Loren,Sofia Loren,PER,0.0,0.0,de,1
gerechte Flächenverteilung,gerechte Flächenverteilung,PER,1.0,0.0,de,1
Christophe Ga,Christophe Ga,PER,0.0,0.0,de,1
Marcos Marques,Marcos Marques,PER,0.7,0.0,de,1
Solare Grossanlagen,Solare Grossanlagen,PER,0.0,0.0,de,1
Andrij Sadovyi,Andrij Sadovyi,PER,-0.07500000000000001,0.4,de,1
Gina Lollobrigida,Gina Lollobrigida,PER,0.0,0.0,de,1
Andreas Lieb,Andreas Lieb,PER,1.0,0.0,de,1
Ara Partners (Ara,Ara Partners (Ara,PER,0.0,0.0,de,1
ellelekeu Blelpplauete,ellelekeu Blelpplauete,PER,-1.0,0.0,de,1
Qian Qin,Qian Qin,PER,0.0,0.0,de,1
La Niña,La Niña,PER,0.0,0.0,de,1
Karolina Attspodina,Karolina Attspodina,PER,0.0,0.0,de,1
