,Folgen,Energiewende,Energiequelle,Krise
2022-01-10,0,0,0,1
2022-01-11,0,0,0,1
2022-01-14,0,0,0,1
2022-01-20,1,0,0,0
2022-01-28,1,0,0,0
2022-02-01,0,0,0,1
2022-02-02,2,0,0,0
2022-02-03,1,0,0,1
2022-02-14,0,0,0,1
2022-03-02,0,1,0,0
2022-03-07,0,1,0,0
2022-03-12,0,0,0,1
2022-03-17,0,0,0,1
2022-04-04,1,0,0,1
2022-04-12,0,1,0,1
2022-04-19,0,0,0,1
2022-04-27,0,0,0,3
2022-04-29,0,0,0,1
2022-05-09,1,0,0,0
2022-05-13,0,1,0,0
2022-05-16,0,0,0,1
2022-05-20,0,1,0,1
2022-05-25,0,0,1,0
2022-06-07,1,1,0,2
2022-06-09,1,0,0,0
2022-06-10,1,0,0,0
2022-06-17,0,0,0,1
2022-06-19,0,0,0,1
2022-06-24,0,0,0,1
2022-07-01,0,0,0,1
2022-07-03,0,0,0,1
2022-07-05,0,0,0,1
2022-07-06,1,0,0,1
2022-07-08,0,2,0,0
2022-07-12,0,0,0,3
2022-07-13,0,0,0,2
2022-07-15,0,0,0,2
2022-07-19,0,0,0,1
2022-07-21,0,0,0,1
2022-07-22,0,0,0,1
2022-07-23,0,0,0,1
2022-07-25,1,0,0,3
2022-07-27,1,0,0,0
2022-07-28,1,0,0,1
2022-07-29,1,0,0,0
2022-07-31,1,0,0,1
2022-08-02,0,0,0,2
2022-08-03,0,0,0,2
2022-08-04,0,0,0,1
2022-08-07,0,0,0,1
2022-08-10,0,0,0,3
2022-08-11,1,0,0,0
2022-08-13,0,0,0,1
2022-08-14,0,0,0,1
2022-08-16,0,0,0,1
2022-08-17,0,0,0,1
2022-08-22,0,0,0,1
2022-08-23,0,0,0,1
2022-08-24,0,0,0,1
2022-08-25,0,0,0,1
2022-08-29,0,0,0,1
2022-08-30,0,0,0,1
2022-08-31,0,0,0,1
2022-09-01,0,0,0,2
2022-09-02,0,0,0,1
2022-09-05,0,0,0,2
2022-09-06,0,0,0,2
2022-09-07,0,0,0,1
2022-09-09,0,0,0,1
2022-09-10,0,0,0,2
2022-09-12,0,0,0,1
2022-09-14,0,0,0,5
2022-09-15,0,0,0,1
2022-09-16,0,0,0,1
2022-09-19,1,0,0,2
2022-09-20,1,0,0,3
2022-09-21,1,0,0,2
2022-09-22,0,0,0,2
2022-09-23,1,0,0,3
2022-09-25,0,0,0,1
2022-09-26,2,0,0,1
2022-09-27,2,0,1,2
2022-09-28,1,0,0,7
2022-09-29,0,1,0,9
2022-09-30,2,1,1,17
2022-10-01,0,0,0,5
2022-10-02,0,0,0,2
2022-10-03,1,0,0,5
2022-10-04,1,2,1,10
2022-10-05,1,0,0,6
2022-10-06,0,2,2,8
2022-10-07,2,0,0,18
2022-10-08,0,0,0,4
2022-10-09,0,1,1,3
2022-10-10,4,1,0,16
2022-10-11,0,1,0,13
2022-10-12,3,3,0,31
2022-10-13,3,2,1,35
2022-10-14,2,1,0,23
2022-10-15,1,1,0,9
2022-10-16,0,0,0,17
2022-10-17,2,1,0,19
2022-10-18,2,1,1,21
2022-10-19,4,1,1,34
2022-10-20,1,6,4,53
2022-10-21,4,0,0,46
2022-10-22,1,3,0,25
2022-10-23,3,0,0,13
2022-10-24,2,5,5,28
2022-10-25,4,4,3,37
2022-10-26,10,7,3,23
2022-10-27,1,14,4,41
2022-10-28,4,10,4,34
2022-10-29,3,1,1,21
2022-10-30,3,3,1,13
2022-10-31,6,9,2,40
2022-11-01,1,7,2,24
2022-11-02,3,6,2,44
2022-11-03,1,5,3,32
2022-11-04,3,8,0,24
2022-11-05,4,1,1,26
2022-11-06,0,5,1,10
2022-11-07,9,7,8,26
2022-11-08,1,9,6,31
2022-11-09,9,15,7,35
2022-11-10,7,18,7,24
2022-11-11,5,8,5,29
2022-11-12,1,5,6,6
2022-11-13,1,4,4,7
2022-11-14,4,10,2,31
2022-11-15,4,15,3,54
2022-11-16,5,7,8,34
2022-11-17,1,9,2,21
2022-11-18,2,5,0,34
2022-11-19,3,3,2,17
2022-11-20,0,3,1,8
2022-11-21,2,14,6,27
2022-11-22,3,10,4,24
2022-11-23,2,11,6,30
2022-11-24,4,12,8,31
2022-11-25,8,6,0,21
2022-11-26,2,9,4,12
2022-11-27,2,1,1,16
2022-11-28,2,4,2,19
2022-11-29,5,11,2,36
2022-11-30,3,10,5,20
2022-12-01,1,3,3,35
2022-12-02,5,9,5,34
2022-12-03,2,3,1,24
2022-12-04,1,10,0,13
2022-12-05,4,8,0,17
2022-12-06,5,12,5,21
2022-12-07,2,5,3,11
2022-12-08,3,4,3,15
2022-12-09,5,9,7,33
2022-12-10,8,3,2,11
2022-12-11,1,5,3,6
2022-12-12,1,8,3,24
2022-12-13,2,12,6,55
2022-12-14,5,10,5,17
2022-12-15,13,11,7,47
2022-12-16,3,5,2,27
2022-12-17,0,7,1,11
2022-12-18,0,6,1,4
2022-12-19,2,4,1,23
2022-12-20,2,10,10,38
2022-12-21,2,6,4,14
2022-12-22,1,9,5,17
2022-12-23,1,6,3,24
2022-12-24,3,0,0,10
2022-12-25,4,2,2,14
2022-12-26,3,9,0,12
2022-12-27,2,9,2,21
2022-12-28,1,11,3,14
2022-12-29,0,4,0,10
2022-12-30,1,5,3,8
2022-12-31,1,5,3,4
2023-01-01,0,4,2,9
2023-01-02,3,7,7,9
2023-01-03,6,10,12,25
2023-01-04,1,26,8,18
2023-01-05,2,12,5,7
