,summary,Krise,Energiequelle,Energiewende,Folgen,word
summaryOfAllWords,53947.28160227622,33509.05716349608,4988.8225711137065,7270.457567753461,8178.944299865612,
Energiekrise,399.9777876087582,0.45091488135292607,-3.6022627033657755,-2.670743347069712,-2.4477346266204902,Energiekrise
Kap,2.3192899909027704,0.0837191196595694,-0.1097160339609532,-0.16588220498628492,-0.17257644834039557,Kap
energiekrise kap,2.3192899909027704,0.0837191196595694,-0.1097160339609532,-0.16588220498628492,-0.17257644834039557,energiekrise kap
Chance,3.5809657973690903,0.12122574593992251,-0.5440874733571046,0.18712945544454537,-0.606947887736547,Chance
kap chance,2.2186641622010286,0.06167908527013971,-0.06536021956054039,-0.12152639058587207,-0.12822063393998287,kap chance
deutsche,7.609686794678699,0.062276893976175605,0.48458190485259983,0.10656626462034274,-1.3607373618596388,deutsche
chance deutsch,3.873549631913716,-0.5550100643946525,1.0807012771683702,0.7818169743710411,-0.6854866521089406,chance deutsch
Investoren,5.092622944945308,-0.6257179447135569,1.7968131810320636,-0.9524141157342407,-0.9591083590883513,Investoren
deutsch investor,2.2696117545324315,0.07314299959852301,-0.08806371714585477,-0.14422988817118657,-0.1509241315252973,deutsch investor
Wirtschaft,11.554704787556261,0.40881425960846973,-1.7155476284669988,-1.7717137994923309,-1.7784080428464415,Wirtschaft
investor wirtschaft,2.039226238268577,0.015429737531996812,0.018974625534766767,-0.037191545490564935,-0.04388578884467543,investor wirtschaft
10.01.2022,1.992986398968968,0.001757421989692524,0.04191084966752591,-0.014255321357805679,-0.02094956471191641,10.01.2022
wirtschaft 10.01.2022,1.992986398968968,0.001757421989692524,0.04191084966752591,-0.014255321357805679,-0.02094956471191641,wirtschaft 10.01.2022
Südafrika,1.971769089224942,-0.004796785239593801,0.052613911863173976,-0.0035522591621579263,-0.01024650251626843,Südafrika
10.01.2022 südafrika,1.971769089224942,-0.004796785239593801,0.052613911863173976,-0.0035522591621579263,-0.01024650251626843,10.01.2022 südafrika
erhält,3.270187771723094,0.10425614979038522,0.4085890341166759,-0.509468510357193,-0.5161627537113036,erhält
südafrika erhalt,1.9555702909739463,-0.009926355158420226,0.06086320663734892,0.0046970356120171995,-0.0019972077420934036,südafrika erhalt
Milliarden,10.509149953161204,0.31403405894586833,-1.6207012353305368,-1.6768674063558686,-0.3559086455247439,Milliarden
erhalt milliarde,1.945594668441225,-0.013141156180219027,0.06597739400400424,0.009811222978672512,0.0031169796245616808,erhalt milliarde
Energie-Umbau,1.9228011351195222,-0.02065207434042162,0.07776201908932234,0.02159584806399042,0.014901604709879827,Energie-Umbau
milliarde energie-umbau,1.9228011351195222,-0.02065207434042162,0.07776201908932234,0.02159584806399042,0.014901604709879827,milliarde energie-umbau
Bisher,2.2804424079891086,0.07549771263147992,-0.09282439626103288,-0.1489905672863647,-0.15568481064047535,Bisher
verpesten,1.9020565950047075,-0.027695349374299082,0.08860934727048668,0.03244317624515497,0.025748932891044168,verpesten
bisher verpest,1.9020565950047075,-0.027695349374299082,0.08860934727048668,0.03244317624515497,0.025748932891044168,bisher verpest
veraltete,1.8940807733547749,-0.030457912525756775,0.09281142565282949,0.03664525462749778,0.029951011273387004,veraltete
verpest veraltet,1.8940807733547749,-0.030457912525756775,0.09281142565282949,0.03664525462749778,0.029951011273387004,verpest veraltet
Kohlekraftwerke,1.8868217202275945,-0.03299924256887835,0.09665128243768918,0.040485111412357264,0.03379086805824668,Kohlekraftwerke
veraltet kohlekraftwerk,1.8868217202275945,-0.03299924256887835,0.09665128243768918,0.040485111412357264,0.03379086805824668,veraltet kohlekraftwerk
Umwelt,4.843383823811201,0.1059377469350933,-0.8460685471231102,-0.902234718148442,0.34973956588800426,Umwelt
kohlekraftwerk umwelt,1.8740669943705053,-0.03752822517190625,0.10343413389946071,0.04726796287412891,0.0405737195200185,kohlekraftwerk umwelt
Sie,26.36643156429287,-0.14993677441551115,-0.49470478945468527,-1.263461932631361,0.8945110753301834,Sie
sollen,19.82404957868708,0.22990901852392173,-0.5530729961110582,-1.1928739599010056,-0.19920636034847453,sollen
sie soll,2.1014109275076955,0.0326010312191886,-0.011063922893393289,-0.06723009391872521,-0.07392433727283577,sie soll
alternative,1.8607039144048294,-0.04236240520357888,0.110590201737732,0.05442403071240026,0.04772978735828974,alternative
soll alternativ,1.8607039144048294,-0.04236240520357888,0.110590201737732,0.05442403071240026,0.04772978735828974,soll alternativ
Energien,8.313651584470547,-1.2464593760658793,0.517916712839324,1.5430942159217584,-1.449214280769805,Energien
alternativ energie,1.855089691697158,-0.04442124823273622,0.11361202026424448,0.057445849238912605,0.05075160588480204,alternativ energie
ersetzt,2.0325322332162097,0.01350029401758172,0.0222626452589365,-0.0339035257663953,-0.04059776912050591,ersetzt
energie ersetz,1.8511633214607464,-0.045871085711829754,0.11573080259849944,0.05956463157316764,0.052870388219057186,energie ersetz
Deutsche,7.652128713611581,0.21255825328725297,-1.3034388058736377,-1.3596049768989695,0.12632831646911238,Deutsche
stehen,5.964030115409663,0.3115138033056885,-0.469579389780097,-1.1103675509732336,-1.1170617943273442,stehen
investor steh,1.8374586436195008,-0.050997004407069293,0.12316162149614807,0.06699545047081606,0.06030120711670545,investor steh
bereit,4.167050576032053,0.17046349088517934,-0.6956634231693926,-0.7518295941947245,0.013997519589994359,bereit
steh bereit,2.6938004773980007,0.14840272310520022,-0.2594079469296098,-0.3155741179549418,-0.3222683613090522,steh bereit
Doch,30.961861330774514,0.2092956742636682,-0.6343718056226904,-1.7285250144076918,0.0618452632873642,Doch
gibt,14.40493180803217,0.1823728625752609,-0.29254225923696187,0.20253989680979903,-1.9988859825211482,gibt
doch geb,2.062268848057691,0.02194804363933454,0.007738307197000334,-0.04842786382833143,-0.055122107182442114,doch geb
Widerstände,1.8285519857100738,-0.05438391618916879,0.12802067747505208,0.07185450644972045,0.06516026309560972,Widerstände
geb widerstand,1.8285519857100738,-0.05438391618916879,0.12802067747505208,0.07185450644972045,0.06516026309560972,geb widerstand
nan,35.815985640948355,0.23153117463685663,-0.3394039947628933,-0.7972576805445458,-0.5165521035012708,nan
Energie-Preise,2.313277328614759,-0.4706849078775485,-0.10712020955104505,-0.16328638057637693,1.0057637749631605,Energie-Preise
Auch,13.201704808715345,0.03522592943816242,-0.45021552264404174,-1.1530293353689793,0.520300215490622,Auch
energie-preis auch,2.4817896510790876,-0.5409995652767915,-0.17743486695028782,-0.23360103797561962,1.0973496068419275,energie-preis auch
Azubis,2.5734607515426555,-0.5772712208434633,-0.2137065225169596,-0.26987269354229126,1.1392551941893738,Azubis
auch azubi,2.5734607515426555,-0.5772712208434633,-0.2137065225169596,-0.26987269354229126,1.1392551941893738,auch azubi
azubi soll,2.7884531889850184,-0.6575066613921616,-0.293941963065658,-0.35010813409098984,1.2214466169942795,azubi soll
Heizkostenzuschuss,7.60355094419686,-1.434820966722179,-1.2970703012001787,-1.3532364722255106,1.6532100201297013,Heizkostenzuschuss
soll heizkostenzuschus,3.3972798411495972,-0.8549946965457579,-0.49142999821925426,-0.5475961692445859,1.377818839525304,soll heizkostenzuschus
erhalten,7.48044314824332,-0.7487017830183336,0.20403442915146855,-0.6172670581557061,1.2327235914982448,erhalten
heizkostenzuschus erhalt,2.4817896510790876,-0.5409995652767915,-0.17743486695028782,-0.23360103797561962,1.0973496068419275,heizkostenzuschus erhalt
Business,2.3535819363377346,-0.4879580277806206,-0.12439332945411696,-0.18055950047944874,1.0296653142206886,Business
erhalt business,2.3535819363377346,-0.4879580277806206,-0.12439332945411696,-0.18055950047944874,1.0296653142206886,erhalt business
